"trial","ref_position","var_area","response","correct","rt"
1,"R",8.2966510115657,"R",TRUE,15.8899998664856
2,"R",14.5949871381745,"L",TRUE,1.69400000572205
3,"L",12.5542448626366,"R",TRUE,2.09899997711182
4,"L",9.14377562422305,"R",TRUE,1.39499998092651
5,"R",10.2646089412738,"L",TRUE,1.8970000743866
6,"R",10.4020116445608,"L",TRUE,1.49300003051758
7,"R",13.8583301857579,"L",TRUE,1.39800000190735
8,"R",9.11344562051818,"R",FALSE,1.39199995994568
9,"R",9.60222842171788,"L",TRUE,3.59500002861023
10,"R",14.1777525288053,"L",TRUE,1.59899997711182
11,"R",8.62097883061506,"L",FALSE,1.59099984169006
12,"R",8.62522572139278,"R",TRUE,1.19099998474121
13,"R",13.5073482124135,"L",TRUE,1.49400019645691
14,"L",13.4897446951363,"R",TRUE,1.69300007820129
15,"R",11.2302131606266,"L",TRUE,1.59200000762939
16,"R",9.51226375461556,"L",TRUE,1.89599990844727
17,"R",8.04832327319309,"R",TRUE,1.39000010490417
18,"R",12.2770941562485,"L",TRUE,1.60199999809265
19,"L",12.3559626534116,"R",TRUE,1.69700002670288
20,"R",14.0672494054306,"L",TRUE,1.8970000743866
21,"R",12.6589433902409,"L",TRUE,4.88800001144409
22,"L",9.9148879032582,"R",TRUE,1.89100003242493
23,"L",12.3815450726543,"R",TRUE,1.39000010490417
24,"L",8.66140069789253,"L",TRUE,1.89400005340576
25,"L",13.1684475503862,"R",TRUE,1.59200000762939
