"trial","ref_position","var_area","response","correct","rt"
1,"L",12.7106716539711,"R",TRUE,2.28800010681152
2,"R",8.92312887869775,"L",FALSE,5.79299998283386
3,"L",10.2456409856677,"R",TRUE,1.90599989891052
4,"R",10.8322483354714,"L",TRUE,1.28999996185303
5,"L",13.9464688200969,"R",TRUE,0.983000040054321
6,"L",12.1170056362171,"R",TRUE,1.40400004386902
7,"L",8.71445653028786,"L",TRUE,1.39300012588501
8,"R",10.2009353188332,"L",TRUE,2.78099989891052
9,"L",12.7355254222639,"R",TRUE,1.10399985313416
10,"R",13.527135348646,"L",TRUE,0.98799991607666
11,"R",9.42627577460371,"L",TRUE,2.08899998664856
12,"L",10.688094845973,"R",TRUE,1.28999996185303
13,"L",8.19905241229571,"L",TRUE,1.49600005149841
14,"L",11.2808779068291,"R",TRUE,1.39399981498718
15,"L",13.3254064321518,"R",TRUE,1.29900002479553
16,"R",9.01740192947909,"L",TRUE,1.58899998664856
17,"R",10.5253993251827,"L",TRUE,1.28699994087219
18,"L",8.66406911821105,"L",TRUE,4.08500003814697
19,"R",14.1185753836762,"L",TRUE,0.986000061035156
20,"R",14.0657144004945,"L",TRUE,0.990000009536743
21,"R",9.0737713931594,"R",FALSE,4.59699988365173
22,"L",9.79724330757745,"R",TRUE,1.18700003623962
23,"R",8.38159706746228,"R",TRUE,1.99699997901917
24,"L",10.6396262780763,"R",TRUE,2.79700016975403
